date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:29	182707/182707	---M-Z	200	added ('OK')	text/html	etag:d23de2a8a31b6abc8a33f5ff29d56dcc	https://marcimetzger.com/	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/marcimetzger.com/index.html	(from )
15:44:29	18/18	---M-Z	200	added ('OK')	text/plain	etag:6978a616c585d03cb5b542a891995efb	https://marcimetzger.com/robots.txt		(from )
15:44:29	473/473	---M-Z	200	added ('OK')	application/manifest+json	etag:5ec16c3948ede6feda60d4034654edca	https://marcimetzger.com/manifest.webmanifest	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/marcimetzger.com/manifest.webmanifest	(from https://marcimetzger.com/)
15:44:41	32919/32919	---M-Z	200	added ('OK')	application/javascript	etag:fa1e59b2d347313b4c35926f1c170bf7	https://marcimetzger.com/sw.js	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/marcimetzger.com/sw.js	(from https://marcimetzger.com/)
15:44:41	1012814/1012814	---M--	200	added ('OK')	image/jpeg	etag:3798141152	https://img1.wsimg.com/isteam/ip/067a4d42-19e8-46d9-9bed-578bf62dd44e/mtn%20falls%20pond.jpg	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/img1.wsimg.com/isteam/ip/067a4d42-19e8-46d9-9bed-578bf62dd44e/mtn%20falls%20pond.jpg	(from https://marcimetzger.com/)
15:44:41	91944/91944	---M-Z	200	added ('OK')	text/html	etag:08cce2a27c5260eff65053c7b3dbd2f1	https://marcimetzger.com/listings	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/marcimetzger.com/listings.html	(from https://marcimetzger.com/)
15:44:41	121447/121447	---M-Z	200	added ('OK')	text/html	etag:5564694edc9840d74f4cfe02dc7f1682	https://marcimetzger.com/lets-move	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/marcimetzger.com/lets-move.html	(from https://marcimetzger.com/)
15:44:41	79626/79626	---M-Z	200	added ('OK')	text/html	etag:e359f68a6f6c3a1cc2da4a0f88f1c295	https://marcimetzger.com/about-us	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/marcimetzger.com/about-us.html	(from https://marcimetzger.com/)
15:44:42	67113/67113	---M-Z	200	added ('OK')	application/javascript	etag:%22a2ccd11dad2237e214c44d8763fe8858%22	http://img1.wsimg.com/blobby/go/067a4d42-19e8-46d9-9bed-578bf62dd44e/gpub/704363f8bb1da2d4/script.js	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/img1.wsimg.com/blobby/go/067a4d42-19e8-46d9-9bed-578bf62dd44e/gpub/704363f8bb1da2d4/script.js	(from https://marcimetzger.com/)
15:44:42	314757/314757	---M-Z	200	added ('OK')	application/javascript	etag:%22e68339d73851f7ea6ef9f08795e0b9aa%22	http://img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.51.17.js	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/img1.wsimg.com/ceph-p3-01/website-builder-data-prod/static/widgets/UX.4.51.17.js	(from https://marcimetzger.com/)
15:44:43	38008/38008	---M-Z	200	added ('OK')	application/javascript	etag:%22b1f1733423d58eb0bcece5378d70082b%22	http://img1.wsimg.com/blobby/go/067a4d42-19e8-46d9-9bed-578bf62dd44e/gpub/ba0e1a00cf64f1d/script.js	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/img1.wsimg.com/blobby/go/067a4d42-19e8-46d9-9bed-578bf62dd44e/gpub/ba0e1a00cf64f1d/script.js	(from https://marcimetzger.com/)
15:44:44	243/-1	---M--	403	error ('Forbidden')	application/xml	date:Sun,%2006%20Sep%202026%2007:44:50%20GMT	http://img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/img1.wsimg.com/signals/js/clients/scc-c2/scc-c2.min.js	(from https://marcimetzger.com/)
15:44:44	189878/189878	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Sep%202026%2007:44:51%20GMT	https://marcimetzger.com/e	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/marcimetzger.com/e	(from https://marcimetzger.com/sw.js)
15:44:44	189878/189878	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Sep%202026%2007:44:51%20GMT	https://marcimetzger.com/String(e	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/marcimetzger.com/String(e	(from https://marcimetzger.com/sw.js)
15:44:45	189878/189878	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Sep%202026%2007:44:51%20GMT	https://marcimetzger.com/e.url	C:/Users/pasio/Downloads/Luxury_WebBuild/real_estate/marcimetzger.com/e.url	(from https://marcimetzger.com/sw.js)
